DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
05-May-2026,EQ,"1,060.60","1,068.50","1,049.40","1,068.40","1,060.00","1,059.90","1,060.29","1,234.70","755.50","1,21,94,631","12,92,98,32,753.60","2,22,176"
04-May-2026,EQ,"1,063.60","1,089.10","1,063.60","1,068.45","1,067.50","1,068.40","1,076.63","1,234.70","755.50","1,16,93,211","12,58,92,90,717.10","1,62,818"
30-Apr-2026,EQ,"1,075.00","1,077.70","1,063.00","1,086.90","1,071.95","1,068.45","1,069.56","1,234.70","755.50","1,42,69,539","15,26,21,34,052.95","2,29,719"
29-Apr-2026,EQ,"1,094.00","1,105.00","1,084.25","1,091.30","1,088.40","1,086.90","1,095.45","1,234.70","755.50","1,06,11,104","11,62,39,09,330.20","1,70,982"
28-Apr-2026,EQ,"1,102.30","1,110.50","1,089.15","1,111.85","1,093.40","1,091.30","1,097.54","1,234.70","755.50","1,07,27,835","11,77,42,70,966.60","1,77,701"
27-Apr-2026,EQ,"1,110.95","1,114.80","1,103.40","1,101.10","1,112.00","1,111.85","1,109.38","1,234.70","755.50","1,16,24,385","12,89,58,62,719.15","1,89,849"
24-Apr-2026,EQ,"1,091.35","1,106.00","1,090.05","1,094.25","1,100.95","1,101.10","1,097.12","1,234.70","755.50","1,37,74,745","15,11,26,01,707.60","1,94,209"
23-Apr-2026,EQ,"1,095.00","1,101.90","1,082.20","1,103.30","1,095.00","1,094.25","1,094.33","1,234.70","755.50","1,36,69,001","14,95,84,31,258.25","1,67,995"
22-Apr-2026,EQ,"1,110.00","1,117.85","1,100.10","1,111.85","1,103.20","1,103.30","1,105.72","1,234.70","755.50","1,24,12,659","13,72,49,65,676.75","1,73,846"
21-Apr-2026,EQ,"1,113.40","1,114.75","1,105.95","1,107.85","1,111.70","1,111.85","1,111.12","1,234.70","755.50","1,69,63,734","18,84,88,12,927.20","2,21,554"
20-Apr-2026,EQ,"1,080.30","1,120.95","1,075.85","1,080.25","1,104.00","1,107.85","1,109.38","1,234.70","755.50","3,11,79,584","34,59,01,40,615.20","4,09,719"
17-Apr-2026,EQ,"1,067.00","1,082.15","1,060.00","1,067.15","1,080.30","1,080.25","1,073.16","1,234.70","755.50","1,68,23,879","18,05,46,41,934.60","1,74,866"
16-Apr-2026,EQ,"1,078.00","1,084.15","1,062.00","1,071.50","1,066.70","1,067.15","1,070.72","1,234.70","755.50","2,03,13,165","21,74,96,45,347.50","2,74,626"
15-Apr-2026,EQ,"1,076.00","1,088.00","1,068.20","1,063.55","1,070.90","1,071.50","1,074.29","1,234.70","755.50","1,61,95,810","17,39,90,74,468.45","2,52,841"
